id,cast-1,cast-2,cast-3,cast-4,cinematographer-1,cinematographer-2,cinematographer-3,cinematographer-4,costume department-1,costume department-2,costume department-3,costume department-4,director-1,director-2,director-3,director-4,editor-1,editor-2,editor-3,editor-4,genres-1,genres-2,genres-3,genres-4,language-1,language-2,language-3,language-4,rating,producer-1,producer-2,producer-3,producer-4,writer-1,writer-2,writer-3,writer-4,distributor-1,distributor-2,distributor-3,distributor-4
0454876,Suraj Sharma,Irrfan Khan,Ayush Tandon,Gautam Belur,Claudio Miranda,null,null,null,Andre Brouwer,Tom Caddy,Niki Chang,Amber Chen,Ang Lee,null,null,null,Tim Squyres,null,null,null,Adventure,Drama,Fantasy,null,English,Tamil,French,Japanese,8.0,Kevin Richard Buxbaum,Jean-Christophe Castelli,William M. Connor,Dean Georgaris,Yann Martel,David Magee,null,null,20th Century Fox Netherlands,20th Century Fox,20th Century Fox,20th Century Fox
0058083,Dan O'Herlihy,Walter Matthau,Frank Overton,Edward Binns,Gerald Hirschfeld,null,null,null,null,null,null,null,Sidney Lumet,null,null,null,Ralph Rosenblum,null,null,null,Drama,Thriller,null,null,English,null,null,null,8.0,Charles H. Maguire,Max E. Youngstein,null,null,Walter Bernstein,Eugene Burdick,Harvey Wheeler,Peter George,Columbia Pictures,Columbia Films,Columbia-Bavaria Filmgesellschaft m.b.H.,Columbia Film-Verleih
0063350,Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman,George A. Romero,null,null,null,null,null,null,null,George A. Romero,null,null,null,George A. Romero,null,null,null,Horror,null,null,null,English,null,null,null,8.0,Karl Hardman,Russell Streiner,null,null,John A. Russo,George A. Romero,null,null,Continental Distributing,Walter Reade Organization,Monarch Film Corporation (II),S.S. Nihalini Movies
0329393,Rahul Bose,Konkona Sen Sharma,Bhisham Sahni,Surekha Sikri,Goutam Ghose,null,null,null,null,null,null,null,Aparna Sen,null,null,null,Rabiranjan Maitra,null,null,null,Drama,null,null,null,English,Tamil,Bengali,Hindi,8.0,Rupali Mehta,N. Venkatesan,null,null,Aparna Sen,Dulal Dey,Aparna Sen,null,Krause & Schneider Multimedia (KSM),Madman Entertainment,Tips Exports,null
0166924,Naomi Watts,Jeanne Bates,Dan Birnbaum,Laura Harring,Peter Deming,null,null,null,Lucinda Campbell,Daniel Dirks,Courtney Fowles,Bethany Gauthier,David Lynch,null,null,null,Mary Sweeney,null,null,null,Drama,Mystery,Thriller,null,English,Spanish,null,null,8.0,Pierre Edelman,Neal Edelstein,Joyce Eliason,Tony Krantz,David Lynch,null,null,null,Bac Films,Universal Pictures,StudioCanal,01 Distribution
0020815,Richard Barthelmess,Douglas Fairbanks Jr.,Neil Hamilton,Frank McHugh,Ernest Haller,null,null,null,Edward Stevenson,null,null,null,Howard Hawks,null,null,null,Ray Curtiss,null,null,null,War,Drama,Action,null,English,German,French,null,8.0,Robert North,null,null,null,John Monk Saunders,Dan Totheroh,Howard Hawks,Seton I. Miller,First National Pictures,Associated Artists Productions (AAP),Warner Home Video,null
0029870,James Cagney,Pat O'Brien,Humphrey Bogart,Ann Sheridan,Sol Polito,null,null,null,Eugene Joseff,Charley Mark,null,null,Michael Curtiz,null,null,null,Owen Marks,null,null,null,Crime,Drama,Film-Noir,Thriller,English,null,null,null,8.0,Samuel Bischoff,Hal B. Wallis,Jack L. Warner,null,John Wexley,Warren Duff,Rowland Brown,Ben Hecht,Warner Bros.,Warner Bros.,Warner Bros. Films,Yleisradio (YLE)
0110729,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga,Stuart Dryburgh,null,null,null,Pauline Bowkett,Liz McGregor,Gavin McLean,Leslie Pohatu,Lee Tamahori,null,null,null,Michael Horton,null,null,null,Crime,Drama,null,null,English,Maori,Spanish,null,8.0,Robin Scholes,null,null,null,Riwia Brown,Alan Duff,null,null,Footprint Films,AFMD,Atalanta Filmes,Cinemussy
0108399,Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer,Jeffrey L. Kimball,null,null,null,Greg Hall,Dawn Y. Line,Hugo Peña,null,Tony Scott,null,null,null,Michael Tronick,Christian Wagner,null,null,Crime,Drama,Romance,Thriller,English,Italian,null,null,8.0,Gary Barber,Lisa Cogswell,Don Edmonds,Spencer Franklin,Quentin Tarantino,Roger Avary,null,null,Warner Bros.,August Entertainment,Egmont Film,Metropolitan Filmexport
0028597,Irene Dunne,Cary Grant,Ralph Bellamy,Alexander D'Arcy,Joseph Walker,null,null,null,null,null,null,null,Leo McCarey,null,null,null,Al Clark,null,null,null,Comedy,Romance,null,null,English,French,Italian,null,8.0,Everett Riskin,Leo McCarey,null,null,Viña Delmar,Arthur Richman,Sidney Buchman,null,Columbia Pictures,Columbia Films,Columbia Pictures of Argentina,New Star
0756683,David Lee Smith,Tony Todd,John Billingsley,Ellen Crawford,Afshin Shahidi,null,null,null,Taylor Bork,Serena Viharo,null,null,Richard Schenkman,null,null,null,Neil Grieve,null,null,null,Drama,Sci-Fi,null,null,English,null,null,null,8.0,Steven Alexander,Emerson Bixby,Robbie Bryan,Michael Melamed,Jerome Bixby,null,null,null,Anchor Bay Entertainment (UK),Anchor Bay Entertainment,Anchor Bay Entertainment,Cinemax
0022913,Wallace Ford,Leila Hyams,Olga Baclanova,Roscoe Ates,Merritt B. Gerstad,null,null,null,null,null,null,null,Tod Browning,null,null,null,Basil Wrangell,null,null,null,Drama,Horror,null,null,English,German,French,null,8.0,Tod Browning,Dwain Esper,Harry Rapf,Hildegarde Stadie,Clarence Aaron 'Tod' Robbins,Al Boasberg,Willis Goldbeck,Leon Gordon,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Excelsior Pictures Corp.,Joseph Brenner Associates (JBA)
0780536,Elizabeth Berrington,Rudy Blomme,Olivier Bonjour,Mark Donovan,Eigil Bryld,null,null,null,Chloe Aubry,Rosy Coppola,Richard Davies,Laurent Guinci,Martin McDonagh,null,null,null,Jon Gregory,null,null,null,Comedy,Crime,Drama,null,English,null,null,null,8.0,Jeff Abberley,Julia Blackman,Graham Broadbent,Peter Czernin,Martin McDonagh,null,null,null,Focus Features,Universal Pictures International (UPI),Ascot Elite Entertainment Group,Distribution Company
0057163,Paul Newman,Melvyn Douglas,Patricia Neal,Brandon De Wilde,James Wong Howe,null,null,null,null,null,null,null,Martin Ritt,null,null,null,Frank Bracht,null,null,null,Drama,null,null,null,English,null,null,null,8.0,Irving Ravetch,Martin Ritt,null,null,Irving Ravetch,Harriet Frank Jr,Larry McMurtry,null,Paramount Pictures,Paramount,Filmax S.A.,Paramount-Films
1182345,Sam Rockwell,Kevin Spacey,Dominique McElligott,Rosie Shaw,Gary Shaw,null,null,null,Lucy Donowho,Barbara Kuznar,Hilary Wili,null,Duncan Jones,null,null,null,Nicolas Gaster,null,null,null,Drama,Sci-Fi,null,null,English,Spanish,null,null,8.0,Trevor Beattie,Nicky Bentham,Bil Bungay,Stuart Fenegan,Duncan Jones,Nathan Parker,null,null,Sony Pictures Classics,Stage 6 Films,A-Film Distribution,A-Film Distribution
0020514,Gloria Swanson,Robert Ames,Purnell Pratt,Henry B. Walthall,George Barnes,Gregg Toland,null,null,Judge Johnson,null,null,null,Edmund Goulding,null,null,null,Duncan Mansfield,James B. Morley,null,null,Drama,null,null,null,English,null,null,null,8.0,Edmund Goulding,Joseph P. Kennedy,null,null,Edmund Goulding,null,null,null,United Artists,null,null,null
