id,cast,cinematographer,costume department,director,editor,genres,language,rating,producer,writer,distributor
0188757,Emmanuel Salinger,Richard Rutkowski,Tamra Meinke,Diane Doniol-Valcroze,Elizabeth Gazzara,Horror,English,6.2,Françoise Brion,Diane Doniol-Valcroze,Fox Lorber
0040141,Barbara Stanwyck,Joseph Ruttenberg,null,Robert Z. Leonard,George White,Drama,English,6.2,Edwin H. Knopf,John P. Marquand,Metro-Goldwyn-Mayer (MGM)
0489237,Scarlett Johansson,Terry Stacey,David Davenport,Shari Springer Berman,Robert Pulcini,Comedy,English,6.2,Gary Binkow,Emma McLaughlin,"Weinstein Company, The"
1704161,Guy Pearce,Toby Oliver,Justine Baker,Pauline Chan,Jane Moran,Drama,English,6.2,Penny Carl,Pauline Chan,Gravitas Ventures
0937237,Izzy Diaz,Jonathon Cliff,Fikreyeh Abu Kheit,Brian De Palma,Bill Pankow,Crime,English,6.2,Laird Adamson,Brian De Palma,On Pictures
0119902,Jon Cryer,Yoram Astrakhan,null,Gary Leva,Jane Allison Fleck,Comedy,English,6.2,Lulu Baskins-Leva,Gary Leva,Curb Entertainment
0044999,Cornel Wilde,Ted D. McCord,null,Lewis Seiler,Clarence Kolster,War,English,6.2,Henry Blanke,Harold Medford,Warner Bros.
0102555,Sally Field,Peter Hannan,null,Brian Gilbert,Ofer Bedarshi,Drama,English,6.2,Harry J. Ufland,Betty Mahmoody,Metro-Goldwyn-Mayer (MGM)
0048612,Sterling Hayden,Ellsworth Fredericks,null,Lesley Selander,John C. Fuller,Western,English,6.2,John C. Champion,Clarke Reynolds,Allied Artists Pictures
0038615,William Powell,Ray June,Marion Herwood Keyes,Norman Taurog,Ferris Webster,Drama,English,6.2,Cliff Reid,James Hill,Metro-Goldwyn-Mayer (MGM)
0100222,Vincent D'Onofrio,Juan Ruiz Anchía,Marisa Urruti,Leonard Schrader,Debra McDermott,Drama,English,6.2,Milena Canonero,Leonard Schrader,New Line Cinema
1233301,James Purefoy,David Eggby,Tommy Blunkell,Jonathan English,Peter Amundson,Action,English,6.2,Glenn Kendrick Ackermann,Jonathan English,Bowline
0047133,Fernando Lamas,Lionel Lindon,null,Edward Ludwig,Howard A. Smith,Adventure,English,6.2,William H. Pine,David Duncan,Paramount Pictures
0269095,Robert De Niro,Karl Walter Lindenlaub,Pashelle Clayton-Robinson,Michael Caton-Jones,Jim Clark,Crime,English,6.2,Matthew Baer,Mike McAlary,Warner Bros.
0118893,Mike Andrews,William McDonald,null,Paul Tarantino,Agita Fanucci,Comedy,English,6.2,Jesse Dizon,Paul Tarantino,RCV Film Distribution
0100740,Debbie Harry,Robert Draper,Julie Rae Engelsman,John Harrison,Harry B. Miller III,Comedy,English,6.2,Mitchell Galin,Michael McDowell,Paramount Pictures
0023790,Stuart Erwin,Lucien N. Andriot,null,Irving Pichel,William Hamilton,Drama,English,6.2,Shirley C. Burden,Garrett Fort,RKO Radio Pictures
0084109,Walter Matthau,David M. Walsh,John A. Anderson,Herbert Ross,Sidney Levin,Comedy,English,6.2,Charles Matthau,Neil Simon,Twentieth Century Fox Film Corporation
1151915,Alfred Molina,Scott Kevan,Gretchen Gain,Alfredo Rodriguez de Villa,John Coniglio,Comedy,English,6.2,Reid Brody,Alison Swan,Cathay-Keris Films
0046800,Joel McCrea,Irving Glassberg,Joan Joseff,George Sherman,Frank Gross,Romance,English,6.2,Albert J. Cohen,William Sackheim,Universal Pictures
0257099,Robert Aberdeen,Ralf D. Bode,Jimmy Wright,David Buckley,Suzanne Fenn,Comedy,English,6.1,David Buckley,Franklin Khedouri,Buckley Brothers Films
0119930,Gina Gershon,Ivan Slapeta,Stana Slosserova,Roger L. Simon,Dody Dorn,Drama,English,6.2,Jan Balzer,Sheryl Longin,A-Pix Entertainment
0455981,Eion Bailey,David Burr,null,Mitch Davis,Steven Ramirez,Drama,English,6.2,Jim Abrams,Mitch Davis,Mti Home Video
0095275,Ellen Burstyn,Elemér Ragályi,Hagit Farber,Menahem Golan,Alain Jakubowicz,Biography,English,6.2,Carlos Gil,Menahem Golan,Cannon Film Distributors
1407055,Mindy Cohn,Timothy Naylor,Leo Daignault,Casper Andreas,Craig Cobb,Comedy,English,6.2,Casper Andreas,Jesse Archer,PRO-FUN media Filmverleih
0035572,Mickey Rooney,Karl Freund,null,Norman Taurog,Albert Akst,Comedy,English,6.2,John W. Considine Jr.,George Oppenheimer,Metro-Goldwyn-Mayer (MGM)
0021531,Robert Montgomery,Charles Rosher,René Hubert,Edgar Selwyn,William LeVanway,Drama,English,6.2,null,Becky Gardiner,Metro-Goldwyn-Mayer (MGM)
0024609,Alice Brady,George J. Folsey,null,Charles Brabin,Frank E. Hull,Drama,English,6.2,Hunt Stromberg,John Meehan,Metro-Goldwyn-Mayer (MGM)
0116313,Goldie Hawn,Donald E. Thorin,Michael Adkins,Hugh Wilson,John Bloom,Comedy,English,6.2,Noah Ackerman,Olivia Goldsmith,Paramount Pictures
0038430,Warner Baxter,Philip Tannura,null,William Castle,Dwight Caldwell,Thriller,English,6.2,Rudolph C. Flothow,Leigh Brackett,Columbia Pictures
0073775,George DiCenzo,Fred Jackman Jr.,null,Harry Harris,Bill Brame,Adventure,English,6.1,Irwin Allen,Ken Trevey,American Broadcasting Company (ABC)
0329030,Armin Mueller-Stahl,Stephen M. Katz,null,Eric Small,Glenn Farr,Drama,English,6.2,Tani Cohen,Eric Small,20th Century Fox Home Entertainment Japan
0119557,Kate Capshaw,Phedon Papamichael,Denverly Grant,John Patrick Kelley,Erica Flaum,Drama,English,6.2,Adam Duritz,John Patrick Kelley,Orion Pictures
0036748,Tamara Toumanova,Tony Gaudio,null,Jacques Tourneur,Joseph Noriega,Drama,English,6.2,Casey Robinson,Casey Robinson,RKO Radio Pictures
