id,cast,cinematographer,costume department,director,editor,genres,language,rating,producer,writer,distributor
0110413,Jean Reno,Thierry Arbogast,Laurence Glentzin,Luc Besson,Sylvie Landra,Crime,English,8.6,Claude Besson,Luc Besson,Gaumont Buena Vista International (GBVI)
0064116,Claudia Cardinale,Tonino Delli Colli,Marilù Carteny,Sergio Leone,Nino Baragli,Western,English,8.6,Bino Cicogna,Sergio Donati,Euro International Film (EIA)
0021749,Virginia Cherrill,Gordon Pollock,null,Charles Chaplin,Charles Chaplin,Comedy,English,8.6,Charles Chaplin,Charles Chaplin,United Artists
3967356,Carey Mulligan,null,Jenni Carvell,Robin Lough,null,null,English,8.5,null,David Hare,National Theatre Live
1895587,Mark Ruffalo,Masanobu Takayanagi,Robin Chalfin,Tom McCarthy,Tom McArdle,Biography,English,8.6,Michael Bederman,Josh Singer,BIM Distribuzione
4379480,Steven Joseph Adams,Geno McGahee,null,Forris Day Jr.,Forris Day Jr.,Horror,English,8.6,Forris Day Jr.,Geno McGahee,X Posse Productions
0034583,Humphrey Bogart,Arthur Edeson,Anthony Gasbarri,Michael Curtiz,Owen Marks,Drama,English,8.6,Hal B. Wallis,Julius J. Epstein,Warner Bros.
0120815,Tom Hanks,Janusz Kaminski,Fiona Belton,Steven Spielberg,Michael Kahn,Action,English,8.6,Ian Bryce,Robert Rodat,DreamWorks Distribution
4020156,Gillian Anderson,null,null,Benedict Andrews,null,null,English,8.5,Joshua Andrews,Tennessee Williams,null
0120586,Edward Norton,Tony Kaye,Marisa Aboitiz,Tony Kaye,Gerald B. Greenberg,Crime,English,8.6,Bill Carraro,David McKenna,New Line Cinema
0027977,Charles Chaplin,Ira H. Morgan,null,Charles Chaplin,Charles Chaplin,Comedy,English,8.6,Charles Chaplin,Charles Chaplin,United Artists
0054215,Anthony Perkins,John L. Russell,Helen Colvig,Alfred Hitchcock,George Tomasini,Horror,English,8.5,Alfred Hitchcock,Joseph Stefano,Paramount Pictures
0014636,Gloria Swanson,Harold Rosson,null,Allan Dwan,null,Romance,English,8.5,Allan Dwan,Pierre Berton,Paramount Pictures
0082971,Harrison Ford,Douglas Slocombe,Ian Hickinbotham,Steven Spielberg,Michael Kahn,Action,English,8.5,Howard G. Kazanjian,Lawrence Kasdan,Paramount Pictures
0047396,James Stewart,Robert Burks,Joan Joseff,Alfred Hitchcock,George Tomasini,Mystery,English,8.5,Alfred Hitchcock,John Michael Hayes,Cinema International Corporation (C.I.C.)
0120689,Tom Hanks,David Tattersall,Lis Bothwell,Frank Darabont,Richard Francis-Bruce,Crime,English,8.5,Frank Darabont,Stephen King,Warner Bros.
4085696,Elliott Hanna,null,null,Brett Sullivan,null,Comedy,English,8.5,null,Lee Hall,Universal Pictures
0016690,William Haines,Ira H. Morgan,Kathleen Kay,Jack Conway,Frank Davis,Drama,English,8.5,Harry Rapf,Joseph Farnham,Metro-Goldwyn-Mayer (MGM)
2582802,Miles Teller,Sharone Meir,John Thong Hoang Nguyen,Damien Chazelle,Tom Cross,Drama,English,8.5,Jason Blum,Damien Chazelle,Ad Vitam Distribution
0253474,Adrien Brody,Pawel Edelman,Janusz Adamiak,Roman Polanski,Hervé de Luze,Biography,English,8.5,Robert Benmussa,Ronald Harwood,StudioCanal
0103064,Arnold Schwarzenegger,Adam Greenberg,Colin Booth,James Cameron,Conrad Buff IV,Action,English,8.5,Stephanie Austin,James Cameron,TriStar Pictures
1821700,Shaan Shahid,Bilal Lashari,Iftikhar Ahmad Shaheen Shah,Bilal Lashari,Bilal Lashari,Action,English,8.5,Jameel Ahmed,Hassan Rana,ARY Films
0172495,Russell Crowe,John Mathieson,Ait Hamid Abdellam,Ridley Scott,Pietro Scalia,Action,English,8.5,David Franzoni,David Franzoni,DreamWorks Distribution
0407887,Leonardo DiCaprio,Michael Ballhaus,Wayne Allen,Martin Scorsese,Thelma Schoonmaker,Crime,English,8.5,Michael Aguilar,William Monahan,Entertainment Film Distributors
0043014,William Holden,John F. Seitz,Ed Fitzharris,Billy Wilder,Arthur P. Schmidt,Drama,English,8.5,Charles Brackett,Charles Brackett,Paramount Pictures
0088763,Michael J. Fox,Dean Cundey,Brian Callahan,Robert Zemeckis,Harry Keramidas,Adventure,English,8.5,Neil Canton,Robert Zemeckis,Universal Pictures
0209144,Guy Pearce,Wally Pfister,Anne Laoparadonchai,Christopher Nolan,Dody Dorn,Mystery,English,8.5,Christopher Ball,Christopher Nolan,Newmarket Films
0057012,Peter Sellers,Gilbert Taylor,Bridget Sellers,Stanley Kubrick,Anthony Harvey,Comedy,English,8.5,Stanley Kubrick,Stanley Kubrick,Columbia Pictures
0078788,Marlon Brando,Vittorio Storaro,Luster Bayless,Francis Ford Coppola,Lisa Fruchtman,Drama,English,8.5,John Ashley,John Milius,United Artists
1345836,Christian Bale,Wally Pfister,Terry Archer,Christopher Nolan,Lee Smith,Action,English,8.5,Kevin De La Noy,Jonathan Nolan,20th Century Fox
0482571,Hugh Jackman,Wally Pfister,Anthony Almaraz,Christopher Nolan,Lee Smith,Drama,English,8.5,Christopher Ball,Jonathan Nolan,Warner Bros.
0015022,Marion Davies,George Barnes,null,E. Mason Hopper,Walter Futter,Comedy,English,8.5,null,Paul Leicester Ford,Metro-Goldwyn Pictures Corporation
0032553,Charles Chaplin,Karl Struss,Wyn Ritchie,Charles Chaplin,Willard Nico,Comedy,English,8.5,Charles Chaplin,Charles Chaplin,United Artists
0110357,Matthew Broderick,null,null,Roger Allers,Ivan Bilancio,Animation,English,8.5,Alice Dewey,Irene Mecchi,Buena Vista International (Sweden)
